date,confirmes,deces,morbihan,ille_et_vilaine,finistere,cote_armor,hosp,reanim
"2020-10-02",14021,291,2622,7097,2582,1720,191,19
"2020-10-05",14907,293,2718,7638,2752,1799,175,18
"2020-10-07",15516,294,2826,7981,2844,1865,187,19
"2020-10-09",16296,296,2934,8384,3002,1976,181,19
"2020-10-12",17403,298,3126,8954,3214,2109,207,24
"2020-10-14",18294,300,3240,9399,3366,2289,193,21
"2020-10-16",19356,302,3408,9898,3572,2478,195,24
"2020-10-19",21164,305,3739,10728,3913,2784,223,32
"2020-10-21",22179,310,3951,11152,4122,2954,232,27
"2020-10-23",23894,313,4223,12000,4507,3164,248,27
"2020-10-26",26246,326,4621,13100,5069,3456,319,46
"2020-10-28",28207,330,5050,13960,5474,3723,357,52
"2020-10-30",29216,340,5258,14404,5669,3885,409,61
"2020-11-02",32988,359,5892,16049,6618,4429,504,77
"2020-11-04",35175,374,6232,17269,6946,4728,568,84
"2020-11-06",37954,384,6802,18235,7691,5226,594,84
"2020-11-09",41498,406,7509,19744,8370,5875,643,93
"2020-11-11",42999,418,7774,20371,8705,6149,679,110
"2020-11-13",44473,433,8086,21066,8905,6416,706,120
"2020-11-16",46272,453,8446,21903,9172,6751,722,114
"2020-11-18",47093,472,8675,22223,9257,6938,687,112
"2020-11-20",47865,483,8860,22495,9391,7119,665,93
"2020-11-23",48608,505,9012,22769,9525,7302,653,93
"2020-11-25",49044,521,9154,22922,9562,7406,593,89
"2020-11-27",49479,536,9245,23106,9615,7513,561,84
"2020-11-30",50445,551,9726,23371,9703,7645,533,73
"2020-12-02",50828,564,9806,23545,9757,7720,534,69
"2020-12-04",51305,573,9899,23773,9822,7811,530,69
"2020-12-07",51865,588,9995,24025,9912,7933,528,66
"2020-12-09",52290,597,10091,24196,9990,8013,532,63
"2020-12-11",52798,604,10184,24435,10069,8110,551,54
"2020-12-14",53402,620,10333,24680,10177,8212,575,56
"2020-12-16",53940,637,10437,24939,10284,8280,591,55
"2020-12-18",54625,647,10557,25230,10421,8417,592,50
"2020-12-21",55158,661,10692,25451,10532,8483,591,50
